"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
6.042997530E-1,-1.527118147E-4,6.108472589E-4,-0.000000000E0,6.296469424E-4
6.067141800E-1,-7.635590737E-4,6.108472589E-4,1.221694518E-3,1.564830447E-3
6.091286070E-1,5.344913807E-4,1.221694518E-3,1.221694518E-3,1.808523162E-3
6.115430340E-1,1.145338640E-3,-0.000000000E0,2.443389036E-3,2.698508955E-3
6.139574610E-1,-1.527118147E-4,-0.000000000E0,6.108472589E-4,6.296469424E-4
6.163718880E-1,-1.527118147E-4,6.108472589E-4,1.221694518E-3,1.374406333E-3
6.187862630E-1,-1.527118147E-4,6.108472589E-4,6.108472589E-4,8.772625866E-4
6.212006900E-1,5.344913807E-4,6.108472589E-4,-0.000000000E0,8.116744481E-4
6.236151170E-1,-7.635590737E-4,6.108472589E-4,-0.000000000E0,9.778327223E-4
6.260295440E-1,-7.635590737E-4,6.108472589E-4,6.108472589E-4,1.152948918E-3
6.284439710E-1,-1.527118147E-4,-1.832541777E-3,-0.000000000E0,1.838893760E-3
6.308583990E-1,5.344913807E-4,-6.108472589E-4,6.108472589E-4,1.015849292E-3
6.332728260E-1,-1.527118147E-4,6.108472589E-4,6.108472589E-4,8.772625866E-4
6.356872010E-1,5.344913807E-4,6.108472589E-4,-0.000000000E0,8.116744481E-4
6.381016280E-1,-1.527118147E-4,-0.000000000E0,3.054236295E-3,3.058051707E-3
6.405160550E-1,-7.635590737E-4,1.221694518E-3,6.108472589E-4,1.564830447E-3
6.429304820E-1,-7.635590737E-4,6.108472589E-4,1.832541777E-3,2.077105244E-3
6.453449090E-1,-7.635590737E-4,-0.000000000E0,-0.000000000E0,7.635590737E-4
6.477593360E-1,-1.527118147E-4,-6.108472589E-4,1.221694518E-3,1.374406333E-3
6.501737630E-1,-1.527118147E-4,-0.000000000E0,-0.000000000E0,1.527118147E-4
6.525881380E-1,1.145338640E-3,6.108472589E-4,-0.000000000E0,1.298050451E-3
6.550025650E-1,5.344913807E-4,6.108472589E-4,-0.000000000E0,8.116744481E-4
6.574169920E-1,5.344913807E-4,6.108472589E-4,-6.108472589E-4,1.015849292E-3
6.598314190E-1,5.344913807E-4,6.108472589E-4,-0.000000000E0,8.116744481E-4
6.622458460E-1,-1.527118147E-4,6.108472589E-4,-6.108472589E-4,8.772625866E-4
6.646602740E-1,-7.635590737E-4,6.108472589E-4,6.108472589E-4,1.152948918E-3
6.670747010E-1,-1.527118147E-4,-0.000000000E0,-0.000000000E0,1.527118147E-4
6.694890760E-1,-7.635590737E-4,-1.221694518E-3,1.832541777E-3,2.331044684E-3
6.719035030E-1,-1.527118147E-4,-6.108472589E-4,6.108472589E-4,8.772625866E-4
6.743179300E-1,1.145338640E-3,-6.108472589E-4,-6.108472589E-4,1.434597277E-3
6.767323570E-1,-1.527118147E-4,1.832541777E-3,-0.000000000E0,1.838893760E-3
6.791467840E-1,-1.374406274E-3,1.221694518E-3,1.221694518E-3,2.207729059E-3
6.815612110E-1,5.344913807E-4,-6.108472589E-4,6.108472589E-4,1.015849292E-3
6.839755860E-1,-7.635590737E-4,-1.221694518E-3,1.221694518E-3,1.888940827E-3
6.863900130E-1,-1.527118147E-4,-6.108472589E-4,6.108472589E-4,8.772625866E-4
6.888044400E-1,5.344913807E-4,6.108472589E-4,1.832541777E-3,2.004251674E-3
6.912188670E-1,-1.374406274E-3,6.108472589E-4,6.108472589E-4,1.623348809E-3
6.936332940E-1,5.344913807E-4,6.108472589E-4,-0.000000000E0,8.116744481E-4
6.960477210E-1,-1.527118147E-4,6.108472589E-4,-0.000000000E0,6.296469424E-4
6.984621490E-1,-1.374406274E-3,-6.108472589E-4,6.108472589E-4,1.623348809E-3
7.008765240E-1,-1.527118147E-4,-6.108472589E-4,-1.221694518E-3,1.374406333E-3
7.032909510E-1,5.344913807E-4,-0.000000000E0,-0.000000000E0,5.344913807E-4
7.057053780E-1,1.145338640E-3,-6.108472589E-4,-0.000000000E0,1.298050451E-3
7.081198050E-1,-7.635590737E-4,-6.108472589E-4,-1.832541777E-3,2.077105244E-3
7.105342320E-1,-7.635590737E-4,6.108472589E-4,6.108472589E-4,1.152948918E-3
7.129486590E-1,5.344913807E-4,-6.108472589E-4,-0.000000000E0,8.116744481E-4
7.153630860E-1,-7.635590737E-4,-6.108472589E-4,1.221694518E-3,1.564830447E-3
7.177774610E-1,1.145338640E-3,-6.108472589E-4,-0.000000000E0,1.298050451E-3
7.201918880E-1,5.344913807E-4,-6.108472589E-4,6.108472589E-4,1.015849292E-3
7.226063150E-1,-7.635590737E-4,-1.832541777E-3,-6.108472589E-4,2.077105244E-3
7.250207420E-1,-1.374406274E-3,-0.000000000E0,1.221694518E-3,1.838893717E-3
7.274351690E-1,-1.527118147E-4,1.221694518E-3,6.108472589E-4,1.374406333E-3
7.298495960E-1,5.344913807E-4,-0.000000000E0,2.443389036E-3,2.501165931E-3
7.322639710E-1,-1.527118147E-4,-1.221694518E-3,1.221694518E-3,1.734472798E-3
7.346783990E-1,-1.985253533E-3,-1.221694518E-3,1.221694518E-3,2.631787716E-3
7.370928260E-1,-1.985253533E-3,1.221694518E-3,-0.000000000E0,2.331044634E-3
7.395072530E-1,-7.635590737E-4,6.108472589E-4,-6.108472589E-4,1.152948918E-3
7.419216800E-1,1.145338640E-3,-0.000000000E0,-6.108472589E-4,1.298050451E-3
7.443361070E-1,-7.635590737E-4,-0.000000000E0,-0.000000000E0,7.635590737E-4
